City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,5.81,65,0,9.26,AR,1724281065
1,daman,20.4167,72.85,27.6,85,100,2.65,IN,1724281066
2,tura,25.5198,90.2201,23.77,99,100,1.6,IN,1724280793
3,blackmans bay,-43.0167,147.3167,10.81,65,21,3.09,AU,1724281068
4,rio grande,-32.035,-52.0986,15.71,96,100,3.03,BR,1724281069
5,waitangi,-43.9535,-176.5597,11.01,81,14,2.24,NZ,1724280629
6,tiksi,71.6872,128.8694,4.83,77,22,3.02,RU,1724281071
7,brits,-25.6347,27.7802,13.68,22,2,2.08,ZA,1724281072
8,adamstown,-25.066,-130.1015,16.99,55,50,7.98,PN,1724281073
9,margaret river,-33.95,115.0667,11.65,91,100,5.85,AU,1724281075
10,itaituba,-4.2761,-55.9836,29.83,29,63,0.34,BR,1724281076
11,port elizabeth,-33.918,25.5701,11.84,73,0,10.29,ZA,1724281077
12,hermanus,-34.4187,19.2345,3.78,70,59,4.57,ZA,1724281078
13,papatowai,-46.5619,169.4708,10.53,56,51,2.39,NZ,1724280831
14,port-aux-francais,-49.35,70.2167,2.96,92,99,17.58,TF,1724280623
15,severo-yeniseyskiy,60.3725,93.0408,10.85,98,86,2.03,RU,1724281081
16,port alfred,-33.5906,26.891,12.88,65,48,3.58,ZA,1724280628
17,uturoa,-16.7333,-151.4333,25.17,62,24,11.41,PF,1724281084
18,timimoun,29.2639,0.231,40.21,11,0,7.2,DZ,1724281085
19,iqaluit,63.7506,-68.5145,18.72,55,75,7.72,CA,1724280529
20,minas de marcona,-15.2119,-75.1103,10.35,89,96,9.35,PE,1724281087
21,jamestown,42.097,-79.2353,17.23,64,100,3.09,US,1724280975
22,portland,45.5234,-122.6762,23.12,57,75,4.12,US,1724281089
23,iskateley,67.6803,53.1512,5.81,96,51,1.64,RU,1724281090
24,akureyri,65.6835,-18.0878,6.96,76,75,4.12,IS,1724281091
25,broken hill,-31.95,141.4333,13.41,71,87,4.36,AU,1724281093
26,vorgashor,67.5833,63.95,7.03,96,100,3.69,RU,1724281094
27,bubaque,11.2833,-15.8333,25.61,89,100,8.48,GW,1724281096
28,lake albert,-35.1667,147.3833,10.48,96,100,0.41,AU,1724281097
29,hawaiian paradise park,19.5933,-154.9731,27.58,76,100,2.57,US,1724281098
30,port macquarie,-31.4333,152.9167,16.15,93,100,0.45,AU,1724281099
31,remire-montjoly,4.9167,-52.2667,28.02,83,20,3.6,GF,1724281100
32,caleta de carquin,-11.0925,-77.6267,17.01,84,50,6.41,PE,1724281102
33,port lincoln,-34.7333,135.8667,12.58,83,25,2.97,AU,1724281103
34,natal,-5.795,-35.2094,25.12,78,75,6.17,BR,1724280793
35,utrik,11.2278,169.8474,28.12,73,54,3.77,MH,1724281105
36,buta,2.7858,24.73,19.96,99,100,0.95,CD,1724281106
37,nova venecia,-18.7106,-40.4006,20.6,85,0,2.57,BR,1724281107
38,yellowknife,62.456,-114.3525,13.08,69,75,8.23,CA,1724281108
39,bethel,41.3712,-73.414,18.32,67,58,3.02,US,1724281109
40,metu,8.3,35.5833,15.13,100,100,0.63,ET,1724281111
41,punta arenas,-53.15,-70.9167,5.06,75,20,8.23,CL,1724281105
